approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.002826204,0.17822266,4705.0,5800.0,0.7746854871511459,227,40,5.598336,-0.020560963,5120,93.6846762647208,20480,3.989184e-06
0.0030480812,0.19433594,4705.0,5800.0,0.7500277310609818,227,41,5.577096,-0.022142163,5248,95.94093676710308,20992,2.7047452e-06
0.0035219803,0.18701172,4705.0,5800.0,0.004323303699493408,223,42,5.539603,-0.008290167,5376,98.2376690333548,21504,0.006407529
0.004122498,0.22949219,4705.0,5800.0,0.6739987730979919,215,43,5.6454663,-0.012302331,5504,100.60955086470487,22016,7.842817e-05
0.0031865244,0.20166016,4705.0,5800.0,0.08992648124694824,226,44,5.547304,-0.020655155,5632,102.86811605944331,22528,1.6304208e-05
0.0036857792,0.23095703,4705.0,5800.0,0.5321857929229736,226,45,5.646577,-0.017019162,5760,105.13060877849001,23040,1.10681485e-05
0.0019460586,0.12109375,4705.0,5800.0,0.6784304678440094,229,46,5.6245365,-0.016678454,5888,107.3664542560577,23552,1.0474745e-05
0.0034210607,0.19580078,4705.0,5800.0,0.001404106616973877,224,47,5.579638,-0.016188938,6016,109.64832387915224,24064,0.014688263
0.0031879228,0.1899414,4705.0,5800.0,0.0041945576667785645,227,48,5.5898724,-0.01000966,6144,111.89720048218419,24576,0.01491465
0.0024796694,0.14990234,4705.0,5800.0,0.24820369482040405,229,49,5.4543653,-0.01543733,6272,114.12945940056628,25088,0.00018249646
0.003100513,0.17871094,4705.0,5800.0,0.33120155334472656,230,50,5.4636197,-0.019316692,6400,116.35170335894647,25600,0.00012006938
0.0032247868,0.17773438,4705.0,5800.0,0.18721288442611694,228,51,5.4775515,-0.019206468,6528,118.59126320523978,26112,1.5427939e-05
0.0029117372,0.125,4705.0,5800.0,0.00721818208694458,229,52,5.4464993,-0.013314893,6656,120.82167230751395,26624,0.008074288
0.0027584538,0.1953125,4705.0,5800.0,-0.20373952388763428,229,53,5.4655643,-0.015527575,6784,123.0566092198869,27136,5.4872096e-05
0.002715186,0.18359375,4705.0,5800.0,0.06588071584701538,208,54,5.4842386,-0.015322263,6912,125.51455401454655,27648,1.8886889e-05
0.0018022,0.11230469,4705.0,5800.0,0.0034578442573547363,226,55,5.4143443,-0.014918815,7040,127.77798826387153,28160,0.20102406
